ANY,MES,BUS,MOTO,COTXE,TOTAL VISITANTS APARCAMENT,FGC,AERI,TOTAL VISITANTS,APARCAMENT_100,FGC_100,AERI_100
2011,Gener,486,204,12801,65226,21597,7364,94187,0.6925,0.2293,0.0782
2011,Febrer,516,221,11557,62344,25823,6344,94511,0.6596,0.2732,0.0671
2011,Març,1100,306,13871,96002,35534,12123,143659,0.6683,0.2473,0.0844
2011,Abril,1889,414,20354,152876,51919,18262,223057,0.6854,0.2328,0.0819
2011,Maig,2572,429,18522,176658,54529,17859,249046,0.7093,0.219,0.0717
2011,Juny,2086,450,18118,153987,60529,19438,233954,0.6582,0.2587,0.0831
2011,Juliol,1672,473,22434,150528,62406,20016,232950,0.6462,0.2679,0.0859
2011,Agost,1668,532,28149,169889,77720,24663,272272,0.624,0.2854,0.0906
2011,Setembre,1843,391,21018,153073,68639,18577,240289,0.637,0.2857,0.0773
2011,Octubre,2144,369,21808,168933,61593,20879,251405,0.672,0.245,0.083
2011,Novembre,882,162,13096,83538,29289,10047,122874,0.6799,0.2384,0.0818
2011,Desembre,615,167,15442,79802,29280,11386,120468,0.6624,0.2431,0.0945
2012,Gener,413,113,12489,60797,21447,7208,89452,0.6797,0.2398,0.0806
2012,Febrer,463,100,9481,52741,20970,5345,79056,0.6671,0.2653,0.0676
2012,Març,1238,243,14292,103378,36573,12330,152281,0.6789,0.2402,0.081
2012,Abril,1945,281,17943,146898,50273,18759,215930,0.6803,0.2328,0.0869
2012,Maig,2479,345,17651,169463,57521,17794,244778,0.6923,0.235,0.0727
2012,Juny,2117,304,14075,141339,58837,16667,216843,0.6518,0.2713,0.0769
2012,Juliol,1757,350,18187,139598,65059,20105,224762,0.6211,0.2895,0.0895
2012,Agost,1655,430,24728,157504,74559,20638,252701,0.6233,0.295,0.0817
2012,Setembre,2268,407,20986,171650,75388,19801,266839,0.6433,0.2825,0.0742
2012,Octubre,2232,242,16546,154677,48708,14933,218318,0.7085,0.2231,0.0684
2012,Novembre,964,161,13180,87421,29873,10982,128276,0.6815,0.2329,0.0856
2012,Desembre,653,153,13523,74920,27726,10890,113536,0.6599,0.2442,0.0959
2013,Gener,531,71,9803,56769,21532,2313,80614,0.7042,0.2671,0.0287
2013,Febrer,645,59,8470,57220,17639,6609,81468,0.7024,0.2165,0.0811
2013,Març,1282,202,15068,107875,34595,16641,159111,0.678,0.2174,0.1046
2013,Abril,2082,200,14488,141019,40936,15342,197297,0.7148,0.2075,0.0778
2013,Maig,2606,309,17702,175146,62482,21479,259107,0.676,0.2411,0.0829
2013,Juny,2473,348,17013,167035,72497,21738,261270,0.6393,0.2775,0.0832
2013,Juliol,1880,316,18354,145504,69687,21777,236968,0.614,0.2941,0.0919
2013,Agost,1819,424,26458,170575,80543,24029,275147,0.6199,0.2927,0.0873
2013,Setembre,2669,360,20860,188741,84009,23433,296183,0.6372,0.2836,0.0791
2013,Octubre,2565,281,17135,171368,56020,18873,246261,0.6959,0.2275,0.0766
2013,Novembre,1175,206,12638,94923,31415,11234,137572,0.69,0.2284,0.0817
2013,Desembre,759,98,12241,75116,26199,12138,113453,0.6621,0.2309,0.107
2014,Gener,674,92,10429,65213,24364,6840,96417,0.6764,0.2527,0.0709
2014,Febrer,623,136,10388,62914,23896,7210,94020,0.6692,0.2542,0.0767
2014,Març,1207,265,14845,103937,36341,15091,155369,0.669,0.2339,0.0971
2014,Abril,1817,354,18381,142899,51934,21282,216115,0.6612,0.2403,0.0985
2014,Maig,2658,373,20038,185487,62273,22649,270409,0.6859,0.2303,0.0838
