Defuncions segons sexe i edat
Catalunya. 2021
Font: Idescat a partir de l'INE, Estadística de defuncions. Moviment natural de la població.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=def&n=269
;Homes;Dones;Total
0 anys;73;48;121
1 any;5;10;15
2 anys;7;3;10
3 anys;4;4;8
4 anys;0;3;3
5 anys;2;5;7
6 anys;3;2;5
7 anys;6;2;8
8 anys;7;2;9
9 anys;1;4;5
10 anys;5;2;7
11 anys;2;4;6
12 anys;1;5;6
13 anys;7;1;8
14 anys;1;1;2
15 anys;16;2;18
16 anys;6;2;8
17 anys;13;3;16
18 anys;7;7;14
19 anys;9;9;18
20 anys;10;2;12
21 anys;18;7;25
22 anys;20;5;25
23 anys;10;6;16
24 anys;17;7;24
25 anys;14;5;19
26 anys;15;0;15
27 anys;15;6;21
28 anys;22;3;25
29 anys;14;9;23
30 anys;19;15;34
31 anys;21;8;29
32 anys;27;15;42
33 anys;21;13;34
34 anys;32;13;45
35 anys;23;14;37
36 anys;20;20;40
37 anys;29;21;50
38 anys;57;27;84
39 anys;61;25;86
40 anys;62;25;87
41 anys;58;35;93
42 anys;64;45;109
43 anys;69;50;119
44 anys;83;49;132
45 anys;104;51;155
46 anys;109;69;178
47 anys;118;72;190
48 anys;139;59;198
49 anys;127;84;211
50 anys;154;86;240
51 anys;175;87;262
52 anys;191;95;286
53 anys;196;103;299
54 anys;231;125;356
55 anys;246;127;373
56 anys;249;142;391
57 anys;289;146;435
58 anys;331;147;478
59 anys;350;155;505
60 anys;384;166;550
61 anys;400;225;625
62 anys;445;202;647
63 anys;491;221;712
64 anys;459;232;691
65 anys;481;223;704
66 anys;502;269;771
67 anys;553;242;795
68 anys;585;285;870
69 anys;586;307;893
70 anys;612;296;908
71 anys;659;344;1003
72 anys;786;406;1192
73 anys;829;445;1274
74 anys;811;420;1231
75 anys;861;471;1332
76 anys;902;524;1426
77 anys;995;616;1611
78 anys;960;587;1547
79 anys;830;595;1425
80 anys;1046;794;1840
81 anys;958;757;1715
82 anys;846;699;1545
83 anys;1174;982;2156
84 anys;1297;1240;2537
85 anys;1293;1318;2611
86 anys;1361;1433;2794
87 anys;1375;1610;2985
88 anys;1348;1735;3083
89 anys;1278;1724;3002
90 anys;1184;1806;2990
91 anys;1087;1723;2810
92 anys;936;1533;2469
93 anys;787;1418;2205
94 anys;656;1351;2007
95 anys;507;1173;1680
96 anys;379;922;1301
97 anys;267;786;1053
98 anys;179;554;733
99 anys;126;428;554
100 anys i més;186;802;988
No hi consta;0;0;0
Total;35386;33956;69342

